college_code,branch_code,community,predicted_closing_rank_2026
1118,SC,MBC,73132
1118,SC,OC,59741
1118,SC,SC,146399
1118,SC,SCA,173728
1120,AD,BC,59217
1120,AD,MBC,69256
1120,AD,OC,44915
1120,AD,SC,132031
1120,AD,SCA,225261
1120,AD,ST,61762
1120,AU,BC,130674
1120,AU,MBC,156709
1120,AU,OC,102908
1120,AU,SC,209635
1120,CE,BC,160583
1120,CE,MBC,98065
1120,CE,OC,48588
1120,CE,SC,126428
1120,CE,ST,194560
1120,CS,BC,62270
1120,CS,MBC,65183
1120,CS,OC,37138
1120,CS,SC,135389
1120,CS,SCA,224942
1120,CS,ST,95313
1120,EC,BC,85055
1120,EC,MBC,74972
1120,EC,OC,54215
1120,EC,SC,154498
1120,EC,ST,132259
1120,EE,BC,97629
1120,EE,MBC,87856
1120,EE,OC,62389
1120,EE,SC,159372
1120,EI,BC,88026
1120,EI,MBC,99100
1120,EI,OC,83160
1120,EI,SC,147735
1120,IT,BC,61183
1120,IT,MBC,73775
1120,IT,OC,48366
1120,IT,SC,141571
1120,IT,SCA,229839
1120,IT,ST,232788
1120,ME,BC,137591
1120,ME,MBC,103701
1120,ME,OC,81351
1120,ME,SC,185731
1120,ME,SCA,221189
1120,SC,BC,59596
1120,SC,MBC,70005
1120,SC,OC,48521
1120,SC,SC,137000
1120,SC,SCA,196982
1121,AD,OC,214151
1121,CE,OC,175113
1121,CS,BC,194921
1121,CS,MBC,179094
1121,CS,OC,166100
1121,CS,SC,192844
1121,EC,OC,163779
1121,SC,OC,164376
1122,AD,BC,84533
1122,AD,MBC,89958
1122,AD,OC,61797
1122,AD,SC,146759
1122,AD,SCA,231275
1122,AM,BC,83602
1122,AM,MBC,92954
1122,AM,OC,63424
1122,AM,SC,149046
1122,AM,SCA,178003
1122,AM,ST,145325
1122,BT,BC,155436
1122,BT,MBC,148254
1122,BT,OC,108380
1122,BT,SC,203464
1122,CE,BC,201234
1122,CE,MBC,220976
1122,CE,OC,130987
1122,CE,SC,206206
1122,CH,BC,174698
1122,CH,MBC,195145
1122,CH,OC,106398
1122,CH,SC,235291
1122,CH,SCA,140099
1122,CS,BC,71878
1122,CS,MBC,84167
1122,CS,OC,46382
1122,CS,SC,146247
1122,CS,SCA,247651
1122,CS,ST,180943
1122,EC,BC,91783
1122,EC,MBC,97200
1122,EC,OC,67509
1122,EC,SC,159487
1122,IT,BC,89051
1122,IT,MBC,95186
1122,IT,OC,68966
1122,IT,SC,157969
1122,IT,SCA,160962
1122,ME,BC,132887
1122,ME,MBC,142040
1122,ME,OC,100856
1122,ME,SC,189499
1122,ME,ST,171288
1123,AD,BC,243326
1123,AD,MBC,200436
1123,AD,OC,148044
1123,AD,SC,199552
1123,AE,BC,223668
1123,AE,MBC,205196
1123,AE,OC,170387
1123,AE,SC,236425
1123,AE,SCA,180283
1123,AM,BC,230827
1123,AM,MBC,231639
1123,AM,OC,176184
1123,AM,SC,225191
1123,BT,BC,233837
1123,BT,MBC,185206
1123,BT,OC,118245
1123,BT,SC,211712
1123,CB,BC,237409
1123,CB,MBC,244551
1123,CB,OC,227646
1123,CB,SC,237574
1123,CO,BC,246983
1123,CO,MBC,203943
1123,CO,OC,183299
1123,CO,SC,197144
1123,CS,BC,156063
1123,CS,MBC,238460
1123,CS,OC,125420
1123,CS,SC,180632
1123,EC,BC,210390
1123,EC,MBC,199615
1123,EC,OC,136794
1123,EC,SC,201559
1123,IT,BC,243043
1123,IT,MBC,237571
1123,IT,OC,160730
1123,IT,SC,224243
1123,MD,BC,242903
1123,MD,MBC,246021
1123,MD,OC,232532
1123,MD,SC,241879
1123,MD,ST,173559
1123,MU,BC,242684
1123,MU,MBC,216887
1123,MU,OC,207980
1123,MU,SC,243789
1123,PH,BC,197328
1123,PH,MBC,237661
1123,PH,OC,182279
1123,PH,SC,192903
1123,RM,BC,235732
1123,RM,MBC,238718
1123,RM,OC,209389
1123,RM,SC,222146
1123,SC,BC,219387
1123,SC,MBC,235959
1123,SC,OC,157250
1123,SC,SC,198860
1123,SC,SCA,184530
1124,AD,OC,235548
1124,AE,OC,222496
1124,CS,OC,220341
1124,ME,OC,174536
1124,MR,BC,67457
1124,MR,OC,114377
1124,SC,OC,169653
1125,AD,OC,157857
1125,CS,OC,149213
1125,SC,OC,187656
1126,AD,BC,124500
1126,AD,MBC,150232
1126,AD,OC,79203
1126,AD,SC,243591
1126,AD,ST,185106
1126,AG,BC,188367
1126,AG,MBC,167005
1126,AG,OC,158127
1126,AG,SC,209868
1126,BM,BC,218001
1126,BM,MBC,170766
1126,BM,OC,119692
1126,BM,SC,138872
1126,CS,BC,102578
1126,CS,MBC,116051
1126,CS,OC,68008
1126,CS,SC,206728
1126,CS,SCA,226771
1126,CS,ST,205009
1126,EC,BC,98087
1126,EC,MBC,125870
1126,EC,OC,56436
1126,EC,SC,214045
1126,EV,BC,139284
1126,EV,MBC,173968
1126,EV,OC,107673
1126,EV,SC,245475
1126,RM,BC,210621
1126,RM,MBC,180687
1126,RM,OC,112174
1126,RM,SC,192565
1126,SC,BC,128023
1126,SC,MBC,127130
1126,SC,OC,66619
1126,SC,SC,239370
1126,SC,SCA,226565
1127,AD,BC,220083
1127,AD,MBC,245612
1127,AD,OC,156136
1127,AD,SC,228281
1127,AD,SCA,175362
1127,BT,BC,212063
1127,BT,MBC,196944
1127,BT,OC,209489
1127,BT,SC,230861
1127,CB,BC,235681
1127,CB,MBC,223647
1127,CB,OC,184431
1127,CB,SC,237922
1127,CH,BC,192711
1127,CH,MBC,145591
