college_code,college_name,branch_code,branch_name,OC,BC,BCM,MBC,SC,SCA,ST,TOTAL
1120,"Velammal Engineering College (Autonomous), Velammal Nagar, Ambattur-Redhills Road, Surapet, Thiruvallur, Chennai-600066.",CS,COMPUTER SCIENCE AND ENGINEERING,44,38,4,29,21,5,1,142
1120,"Velammal Engineering College (Autonomous), Velammal Nagar, Ambattur-Redhills Road, Surapet, Thiruvallur, Chennai-600066.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,45,37,5,28,22,3,2,142
1120,"Velammal Engineering College (Autonomous), Velammal Nagar, Ambattur-Redhills Road, Surapet, Thiruvallur, Chennai-600066.",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,11,10,1,7,4,2,1,36
1120,"Velammal Engineering College (Autonomous), Velammal Nagar, Ambattur-Redhills Road, Surapet, Thiruvallur, Chennai-600066.",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,5,5,1,4,2,0,0,17
1120,"Velammal Engineering College (Autonomous), Velammal Nagar, Ambattur-Redhills Road, Surapet, Thiruvallur, Chennai-600066.",IT,INFORMATION TECHNOLOGY,23,18,3,14,11,2,0,71
1120,"Velammal Engineering College (Autonomous), Velammal Nagar, Ambattur-Redhills Road, Surapet, Thiruvallur, Chennai-600066.",ME,MECHANICAL ENGINEERING,11,9,1,7,6,1,1,36
1120,"Velammal Engineering College (Autonomous), Velammal Nagar, Ambattur-Redhills Road, Surapet, Thiruvallur, Chennai-600066.",SC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),22,19,2,14,12,2,0,71
1121,"Sri Venkateswara Institute of Science and Technology, Kolundhalur, Thiruvallur Taluk & District-631203.",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,9,7,1,5,3,1,1,27
1121,"Sri Venkateswara Institute of Science and Technology, Kolundhalur, Thiruvallur Taluk & District-631203.",CS,COMPUTER SCIENCE AND ENGINEERING,17,14,2,11,8,2,0,54
1121,"Sri Venkateswara Institute of Science and Technology, Kolundhalur, Thiruvallur Taluk & District-631203.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,17,14,2,11,8,1,1,54
1121,"Sri Venkateswara Institute of Science and Technology, Kolundhalur, Thiruvallur Taluk & District-631203.",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,8,7,1,5,4,1,1,27
1121,"Sri Venkateswara Institute of Science and Technology, Kolundhalur, Thiruvallur Taluk & District-631203.",ME,MECHANICAL ENGINEERING,16,15,1,12,9,2,0,55
