Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/auth/me,"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fe6682ed50>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-20T15:32:58Z,2026-06-20T15:32:58Z
POST,/predict/colleges [auth],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fe6682d6d0>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-20T15:32:58Z,2026-06-20T15:32:58Z
POST,/auth/login [setup],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fe1200a990>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-20T15:32:22Z,2026-06-20T15:32:22Z
POST,/auth/login [setup],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fe22411590>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-20T15:32:24Z,2026-06-20T15:32:24Z
POST,/auth/login [setup],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fe26acdbd0>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-20T15:32:25Z,2026-06-20T15:32:25Z
POST,/predict/colleges [premium],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fe28271e50>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-20T15:32:42Z,2026-06-20T15:32:42Z
POST,/predict/colleges [auth],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fe65f18cd0>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-20T15:32:57Z,2026-06-20T15:32:57Z
POST,/auth/login [setup],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fe35e165d0>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-20T15:32:28Z,2026-06-20T15:32:28Z
POST,/auth/login [setup],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fe1ea55310>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-20T15:32:23Z,2026-06-20T15:32:23Z
POST,/auth/login [setup],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fe0e9f60d0>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-20T15:32:22Z,2026-06-20T15:32:22Z
POST,/auth/login [setup],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fe0fdf7750>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-20T15:32:22Z,2026-06-20T15:32:22Z
