college_code,college_name_full,college_name_short,college_type,district
4994,"J P College of Engineering, College Road, Ayakudy, Tenkasi Taluk, Tenkasi District 627852",J P College of Engineering,Self Financing Engineering Colleges,
4995,"P.S.R.R College of Engineering , Appayanaickenpatti, Sevalpatti, Sivakasi, Virudhunagar-626 140",P.S.R.R College of Engineering,Self Financing Engineering Colleges,Virudhunagar
4996,"Sri Vidhya College of Engineering and Technology, Sivakasi Main Road, P Kumaralinapuram, Virudhunagar District 626005",Sri Vidhya College of Engineering and Technology,Self Financing Engineering Colleges,Virudhunagar
4998,"Mahakavi Bharathiyar College of Engineering and Technology, Vasudevanallur, Tenkasi District 627758",Mahakavi Bharathiyar College of Engineering and Technology,Self Financing Engineering Colleges,
4999,"Annai Vailankanni College of Engineering, Pothaiyadi Salai, Pottalkulam, Azhagappapuram, Kanyakumari District 629401",Annai Vailankanni College of Engineering,Self Financing Engineering Colleges,Kanyakumari
5008,"Thiagarajar College of Engineering (Autonomous),Tirupparankundram, Madurai District 625015",Thiagarajar College of Engineering (Autonomous),Government Aided Colleges,Madurai
5009,"Government College of Engineering, Melachokkanathapuram, Bodinayakkanur, Theni District 625582",Government College of Engineering,Government Colleges,Theni
5010,"Anna University Regional Campus - Madurai, Kanyakumari National Highway, Keelakuilkudi, Madurai District 625019",Anna University Regional Campus - Madurai,Constituent Colleges,Madurai
5012,"Central Electrochemical Research Institute CECRI), Karaikudi, Sivagangai District 630006",Central Electrochemical Research Institute CECRI),Cecri And Cipet,Sivagangai
5017,"University College of Engineering, Ramanathapuram, Pullangudi, Ramanathapuram District 623513",University College of Engineering,Constituent Colleges,Ramanathapuram
5022,"University College of Engineering, Dindigul, Mangarai Pirivu, Reddiyarchathiram, Dindigul District 624622",University College of Engineering,Constituent Colleges,
5502,"Sree Raaja Raajan College of Engineering & Technology, Amaravathi Village, Amaravathi Pudur Post, Karaikudi, Sivagangai District 630301",Sree Raaja Raajan College of Engineering & Technology,Self Financing Engineering Colleges,Sivagangai
5530,"SSM Institute of Engineering and Technology, Kuttathupatti Village, Sindalaigundu Post, Dindigul District 624002",SSM Institute of Engineering and Technology,Self Financing Engineering Colleges,
5532,"Vaigai College of Engineering, Therkutheru, Melur Taluk, Madurai District 625122",Vaigai College of Engineering,Self Financing Engineering Colleges,Madurai
5533,"Karaikudi Institute of Technology, KIT & KIM Technical Campus, Keeranipatti, Thalakkuvur, Karaikudi, Sivagangai District 630307",Karaikudi Institute of Technology,Self Financing Engineering Colleges,Sivagangai
5536,"Mangayarkarasi College of Engineering, First Street, Mangayarkarasi Nagar, Paravai, Madurai District 625402",Mangayarkarasi College of Engineering,Self Financing Engineering Colleges,Madurai
5537,"Jainee College of Engineering and Technology, Dindigul-Theni Main Road (Near Vakkampatti), Dindigul District 624303",Jainee College of Engineering and Technology,Self Financing Engineering Colleges,Theni
5538,"J.K. College of Architecture, NH-7, Madurai Road, Begampur Post, Dindigul 624002",J.K. College of Architecture,Self Financing Engineering Colleges,Madurai
5703,"Christian College of Engineering and Technology, Oddanchatram, Dindigul District 624619",Christian College of Engineering and Technology,Self Financing Engineering Colleges,
5720,"Sri Subramanya College of Engineering and Technology, Sukkamanaickanpatti, Palani, Dindigul District 624615",Sri Subramanya College of Engineering and Technology,Self Financing Engineering Colleges,
5832,"N P R College of Engineering and Technology, Natham, Dindigul District 624003",N P R College of Engineering and Technology,Self Financing Engineering Colleges,
5842,"Madurai Institute of Engineering & Technology, Pottapalayam Village, Manamadurai Taluk, Sivagangai District 630611",Madurai Institute of Engineering & Technology,Self Financing Engineering Colleges,Madurai
